,0
0,1.9136156970928204e-05
1,1.9443056614750817e-05
2,1.9818582573740184e-05
3,2.0166742625223963e-05
4,1.8560464870650815e-05
5,1.848912873905432e-05
6,1.8968612205762486e-05
7,1.8964882406727714e-05
8,2.009809107211758e-05
9,1.9460877264312026e-05
10,1.9721896939238468e-05
11,1.9435700560476732e-05
12,1.9534427036131482e-05
13,1.933588560059305e-05
14,2.069524291609866e-05
15,1.8704387839449205e-05
16,1.9380153418118955e-05
17,1.972452606208262e-05
18,1.9466867490620597e-05
19,1.991538647768759e-05
