,Ca_pred,Cb_pred,Cc_pred,Qout_pred,Ca,Cb,Cc,Qout
0,0.30125603,0.46334895,0.8848009,0.9795366,1.0,0.9858941420950899,0.0,0.0
1,0.2761745,0.43032688,0.845749,0.9655781,0.9823076862744187,1.0,0.11912246337590114,0.04986328101203321
2,0.30657396,0.44268584,0.896487,0.9831096,0.990594652295735,0.9657462985125292,0.22303041388910178,0.0895445445882194
3,0.2758426,0.42789012,0.8181095,0.9563839,0.9136900983394974,0.9864841086001219,0.30578414488889083,0.1288487113410055
4,0.28782624,0.50906396,0.9137109,0.98825663,0.8791907101659441,0.9344814314812799,0.37502723574286523,0.16569552533789017
5,0.29115167,0.43091342,0.8439252,0.96191555,0.8253479752996898,0.9388249852052487,0.43106319456398146,0.19833195656688557
6,0.29939628,0.44313645,0.8973102,0.9853854,0.8044995819653765,0.9418337673409228,0.4734657938458959,0.23552889528051027
7,0.32273722,0.39983156,0.8794786,0.97600216,0.7928243839989378,0.9316240916618238,0.5186109696919478,0.2634374924071019
8,0.286572,0.426908,0.83119863,0.95652497,0.8007174920900999,0.924926160125977,0.5556361853274144,0.29321901153221563
9,0.27449143,0.4464377,0.8338423,0.96253073,0.7950474908810398,0.8782626757138089,0.5932564486997982,0.31704611784244624
10,0.30915114,0.45812118,0.9302453,0.99489796,0.7918118387028033,0.8601855948759696,0.6261580383062185,0.3387754359525761
11,0.2993378,0.4338982,0.8556898,0.97224706,0.764967764553915,0.8245480045051414,0.652378744705832,0.3610284686149565
12,0.29015464,0.48512265,0.92437655,0.9951148,0.7303144376143252,0.850351636717609,0.6702751301770276,0.3861767042279761
13,0.28459132,0.45682162,0.87923586,0.97641116,0.733309078661638,0.8314352482393227,0.6906330238417769,0.4075061663712236
14,0.28362095,0.4527421,0.8495185,0.9674702,0.7204929302758356,0.8246780007903437,0.7080289939924015,0.4285165517282676
15,0.29665375,0.41873074,0.8636309,0.972014,0.7261118886968058,0.8026807755509644,0.7254787366764908,0.44711490749524874
16,0.31116033,0.44742778,0.90077424,0.9811347,0.7387072374998334,0.7637401526556163,0.7425720067042928,0.4647438963201089
17,0.30836925,0.4411815,0.89695555,0.98187107,0.724856249059452,0.7619103616077996,0.7544978258100479,0.48336453007905755
18,0.3150251,0.4470606,0.92521226,0.9923803,0.731380008496964,0.759111912097607,0.768004811140263,0.500430107981527
19,0.3259538,0.4238074,0.91719764,0.9862925,0.7141503488976131,0.7919879803786003,0.7843690011774588,0.5138783933129306
20,0.31536382,0.4641923,0.9307742,0.9927609,0.6856202626231934,0.8063568347390436,0.7982900791159305,0.5282938663418639
21,0.2871905,0.47266153,0.8866844,0.98166305,0.6821110473364027,0.789726752526053,0.8081773138664861,0.5441126891833701
